ID,Name,Rating,Price,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,Popularity,BaseStats,InGameStats,Revision,Position,WorkRate,Height,Club,Country,League,NationPic,ClubPic,PlayerPic
0,Lionel Messi,99,4.6M,4,4,96,98,99,99,50,85,72kg),4208,527,2519,TOTY,RW,M\L,"170cm|5'7""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p151152967.png?v=22,
1,Virgil van Dijk,99,3.75M,2,3,88,80,92,90,99,98,92kg),2741,547,2533,TOTY,CB,M\M,"193cm|6'4""",Premier League,https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p151198320.png?v=22,
2,Cristiano Ronaldo,99,8.95M,5,4,97,99,92,98,45,95,7,83kg),2095,526,2491,TOTY,ST,H\L,"187cm|6'2""",Serie A TIM,https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/p117461313.png?v=22
3,Diego Maradona,99,5.08M,5,3,97,96,94,99,42,80,70kg),547,508,2458,Icon,CAM,H\M,"165cm|5'5""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246514.png?v=22,
4,Pelé,99,8.25M,5,4,97,98,95,99,62,81,70kg),971,532,2570,Icon,ST,H\M,"173cm|5'8""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246525.png?v=22,
5,Pelé,98,5M,5,4,95,96,93,96,60,76,70kg),931,516,2513,Icon,CAM,H\M,"173cm|5'8""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/237067.png?v=22,
6,Kylian Mbappé,98,5.33M,5,4,99,96,93,98,55,90,73kg),2420,531,2506,TOTY,ST,H\L,"178cm|5'10""",Ligue 1 Conforama,https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p134449475.png?v=22,
7,Kevin De Bruyne,98,2.94M,4,5,88,96,99,96,82,93,70kg),2133,554,2620,TOTY,CAM,H\H,"181cm|5'11""",Premier League,https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/10.png,https://cdn.futbin.com/content/fifa20/img/players/p167965145.png?v=22,
8,Diego Maradona,97,2.8M,5,3,92,93,92,97,40,76,70kg),231,490,2392,Icon,CAM,H\M,"165cm|5'5""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/190042.png?v=22,
9,Sadio Mané,97,2.27M,4,4,99,95,92,97,57,88,69kg),2710,528,2521,TOTY,LW,H\M,"175cm|5'9""",Premier League,https://cdn.futbin.com/content/fifa20/img/nation/136.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p184758098.png?v=22,
